,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,98,Collège Saint-Seurin,Privé,100,14.05,93.5
2,108,Collège Saint-Joseph de Tivoli,Privé,97.2,13.85,95
3,144,Collège Assomption Sainte Clotilde,Privé,99.46000000000001,13.2,95.5
4,165,Collège Sainte-Marie Grand Lebrun,Privé,99.9,14.600000000000001,90
5,231,Collège Alain-Fournier,Public,96.88000000000001,13.600000000000001,93.5
6,296,Collège Saint-Genès La Salle (site de Bordeaux),Privé,99.46,14.1,90
7,346,Collège Émile Combes,Public,95.46000000000001,12.350000000000001,97
8,559,Collège Saint-André,Public,94.62,12.899999999999999,93.5
9,582,Collège Sainte-Marie Bastide,Privé,99.22,12.899999999999999,91.5
10,890,Collège Cassignol,Public,94.36,13.05,91
11,2361,Collège Cheverus,Public,94.82000000000001,12.8,86
12,3368,Collège Albert Le Grand,Privé,99.8,13.15,79.5
13,3463,Collège Monséjour,Public,87.16,11.3,90.5
14,4124,Collège Francisco Goya,Public,90.12,12.3,83.5
15,4822,Collège Saint-Louis Sainte-Thérèse,Privé,92.88,12,80.5
16,5582,Collège Blanqui,Public,76.78,10.45,87.5
17,5836,Collège Aliénor d'Aquitaine,Public,79.05999999999999,11.05,82.5
18,5940,Collège Léonard Lenoir,Public,85.12,10.7,80.5
19,6014,Collège Le Mirail,Privé,86.53999999999999,10.2,81
20,6065,Collège Grand Parc,Public,80.46,9.15,86.5
21,6176,Collège Jacques Ellul,Public,73.97999999999999,9.5,86.5
22,6260,Collège Édouard Vaillant,Public,74.22,9.25,86
23,6596,Collège Notre-Dame,Privé,91.74000000000001,11.05,63
