,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,37,Centre scolaire Saint Paul (Collège),Privé,100,15.233333333333334,92.66666666666667
2,622,Collège Thérèse d'Avila,Privé,99.73333333333333,15.166666666666666,83.33333333333333
3,701,Collège Carnot,Public,93.85000000000001,13.299999999999999,91.33333333333333
4,1290,Collège Guy Mollet,Public,97.35000000000001,11.699999999999998,92.66666666666667
5,3114,Collège La Salle,Privé,94.10000000000001,11.799999999999999,87.33333333333333
6,4061,Collège Jean Jaurès,Public,89.76666666666667,9.866666666666665,92.33333333333333
7,4545,Collège Saint-Exupéry,Public,89.83333333333333,10.566666666666666,88
8,4892,Collège Notre-Dame de la Paix,Privé,95.68333333333334,12.466666666666667,77.66666666666667
9,5243,Collège Jean Zay,Public,95.3,9.633333333333333,85.66666666666667
10,5253,Collège Claude Lévi-Strauss,Public,79.11666666666666,10.433333333333332,89
11,5385,Collège Franklin,Public,89.75,10.3,84.66666666666667
12,5436,Collège Boris Vian,Public,81.23333333333333,9.700000000000001,89.66666666666667
13,6008,Collège Saint-Joseph,Privé,98.10000000000001,9.9,78.33333333333333
14,6118,Collège Saint-Joseph,Privé,96.31666666666666,11.366666666666667,73
15,6157,Collège Sainte-Claire,Privé,97.66666666666667,11.9,70.33333333333333
16,6302,Collège Nina Simone,Public,81.86666666666666,8.966666666666667,84.66666666666667
17,6322,Collège Martha Desrumaux,Public,78.01666666666667,9.833333333333334,83
18,6643,Collège Miriam Makeba,Public,85,9.033333333333333,77
19,6665,Collège Louise Michel,Public,75.81666666666666,7.966666666666666,83.33333333333333
20,6700,Collège Verlaine,Public,73.85000000000001,10.066666666666668,75.66666666666667
