,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,50,Collège Pierre Termier - Site Montplaisir,Privé,100,14.4,94.5
2,72,Collège Charles de Foucauld,Privé,99.52,14.6,93
3,84,Collège Chevreul,Privé,99.46000000000001,14.6,92.5
4,94,Collège Aux Lazaristes - La Salle,Privé,98.97999999999999,14.65,92
5,121,Collège les Chartreux - Saint-Charles,Privé,100,15.55,87.5
6,156,Collège les Chartreux - Croix Rousse,Privé,100,15.5,87
7,160,Collège Lestonnac,Privé,98.1,14.1,92.5
8,171,Collège Notre-Dame de Bellecombe,Privé,97.47999999999999,14.55,91
9,229,Collège du Centre scolaire La Favorite-Sainte-Thérèse,Privé,99.28,14.2,90.5
10,236,Collège Sainte-Marie,Privé,98.24000000000001,14.3,90.5
11,310,Collège de la cité scolaire internationale,Public,99.16,14.65,88
12,349,Collège Saint-Louis de la Guillotière,Privé,95.52000000000001,13.35,93.5
13,372,Collège Pierre Termier - Site Montchat,Privé,97.82000000000001,13.75,91
14,400,Collège Fénelon,Privé,98.32000000000001,14.05,89.5
15,541,Collège La Tourette,Public,94.48,13.25,92.5
16,560,Collège Déborde,Privé,98.84,14.15,87.5
17,660,Collège Vendôme,Public,94.76,13.100000000000001,92
18,752,Collège Notre-Dame des Minimes,Privé,98.1,12.850000000000001,91
19,1126,Collège Bellecombe,Public,94.25999999999999,13.45,88.5
20,1200,Collège Clément Marot,Public,93.38000000000001,12.75,91
21,2211,Collège Saint-Marc,Privé,98.06,13,84.5
22,2424,Collège Jean Moulin,Public,90.12,12.25,89.5
23,2576,Collège Antoine de Saint Exupéry,Public,92.58000000000001,12.1,88.5
24,3339,Collège Professeur Dargent,Public,84.42,11.3,92
25,3358,Collège Lacassagne,Public,86.97999999999999,10.85,92.5
26,3625,Collège Raoul Dufy,Public,86.42,11.65,89
27,3706,Collège Jean Perrin,Public,90.64,10.95,89.5
28,4340,Collège Jean Monnet,Public,89.91999999999999,12.05,83.5
29,4430,Collège Ampère,Public,87.79999999999998,11.45,86
30,4489,Collège Saint-Louis - Saint-Bruno,Privé,90.78,12.5,81
31,4676,Collège Molière,Public,84,11.600000000000001,86
32,4780,Collège Victor Grignard,Public,85.98,9.8,91
33,5222,Collège Gilbert Dru,Public,82.64,10.45,87.5
34,5358,Collège Georges Clemenceau,Public,79.97999999999999,10.5,87.5
35,5838,Collège les Battières,Public,76.14000000000001,9.350000000000001,89.5
36,5909,Collège Jean Charcot,Public,85.58,10,83
37,5968,Collège Jean Mermoz,Public,75.38,9.399999999999999,88.5
38,5971,Collège Victor Schoelcher,Public,85.46000000000001,8.4,88
39,5986,Collège Gabriel Rosset,Public,75.46000000000001,9.35,88.5
40,6058,Collège Jean de Verrazane,Public,77.28,10.100000000000001,84.5
41,6092,Collège Saint-Denis,Privé,92,11.95,72
42,6417,Collège Alice Guy,Public,69.85,8.55,87.5
43,6514,Collège Aux Lazaristes - La Salle,Privé,98.22,12.9,58.5
44,6561,Collège Henri Longchambon,Public,74.66,8.55,80.5
