,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,12,Collège de Provence,Privé,99.81666666666666,15.766666666666666,94
2,36,Collège Saint-Eugène de Mazenod,Privé,100,13.966666666666669,97
3,70,Collège Notre-Dame de France,Privé,100,13.866666666666665,95.33333333333333
4,73,Collège Pastré - Grande Bastide,Privé,100,14.9,91.66666666666667
5,104,Collège Lacordaire,Privé,100,15.533333333333333,88.33333333333333
6,218,Collège Saint-Joseph de la Madeleine,Privé,99.68333333333334,13.166666666666666,94.33333333333333
7,269,Collège Sainte-Marie-Blancarde,Privé,100,13.800000000000002,91.33333333333333
8,313,Collège Sévigné,Privé,99.43333333333334,13.5,92
9,319,Collège Chevreul Blancarde,Privé,99.83333333333333,14.033333333333333,90
10,400,Collège Cluny,Privé,98.46666666666665,13.199999999999998,92.33333333333333
11,417,Collège Sainte-Trinité,Privé,98.81666666666666,13.299999999999999,91.66666666666667
12,563,Collège Sainte-Anne,Privé,98.61666666666667,12.766666666666666,92.33333333333333
13,567,Collège Notre-Dame de la Jeunesse,Privé,100,12.9,91.33333333333333
14,662,Collège Hamaskaïne,Privé,100,12.2,93
15,744,Collège Chevreul Champavier,Privé,97.56666666666666,12.633333333333335,92
16,794,Collège Saint-Joseph les Maristes,Privé,98.71666666666665,13.1,89.66666666666667
17,854,Collège Marseilleveyre,Public,92.26666666666667,11.966666666666667,95.66666666666667
18,974,Collège cours Bastide,Privé,99.14999999999999,13,89
19,1315,Collège André Chénier,Public,91.83333333333333,11.6,95
20,1513,Collège Chape,Public,91.56666666666666,12,93
21,1619,Collège Thiers,Public,92.86666666666666,12.533333333333333,90.33333333333333
22,2006,Collège Honoré Daumier,Public,93.46666666666665,11.866666666666667,91
23,2186,Collège Le Ruissatel,Public,86.89999999999999,11.233333333333334,95
24,2406,Collège Sylvain Menu,Public,88.18333333333334,12.166666666666666,90.66666666666667
25,2788,Collège Ami,Privé,99.66666666666667,12.766666666666666,83
26,2818,Collège Saint-Charles Camas,Privé,97.98333333333333,12.633333333333335,84
27,2852,Collège Saint-Charles,Privé,99.64999999999999,11.233333333333334,88
28,3017,Collège Notre-Dame de la Viste,Privé,100,11.033333333333331,88
29,3415,Collège André Malraux,Public,85.83333333333333,11.066666666666668,92
30,3458,Collège Longchamp,Public,89.03333333333335,10.466666666666667,92.66666666666667
31,3567,Collège Gaston Defferre,Public,86.88333333333333,10.700000000000001,92.33333333333333
32,3582,Collège Louis Pasteur,Public,84.26666666666667,10.2,95
33,4001,Collège Jean Giono,Public,91.25,10.166666666666666,91
34,4140,Collège Gyptis,Public,85.26666666666667,10.766666666666666,90.66666666666667
35,4235,Collège Fraissinet,Public,83.5,10.466666666666667,92
36,4634,École secondairee Bnei Elazar,Privé,100,13.15,75
37,4773,Collège Henri Margalhan,Privé,86.78333333333332,10.3,89
38,4978,Collège Jean Malrieu,Public,88.73333333333333,10.766666666666666,85.66666666666667
39,5083,Collège Saint-Bruno - La Salle,Privé,88.36666666666666,10.166666666666666,87.33333333333333
40,5211,Collège François Villon,Public,76.16666666666667,10.066666666666666,91.66666666666667
41,5314,Collège Louis Armand,Public,77.48333333333333,9.733333333333333,91.66666666666667
42,5391,Collège Notre-Dame de la Major,Privé,93.81666666666668,10.133333333333335,83.66666666666667
43,5498,Collège Ibn Khaldoun,Privé,100,11.700000000000001,75.33333333333333
44,5540,Collège de Tour-Sainte,Privé,92.18333333333332,10.733333333333334,81.33333333333333
45,5564,Collège Yavné,Privé,100,11.466666666666667,75.66666666666667
