,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,43,Collège Saint Jean Baptiste De la Salle,Privé,97.92,14.15,97
2,106,Collège Sainte-Marie La Salle,Privé,99.84,13.85,94
3,850,Collège l'Assomption,Privé,99.7,14.25,85
4,1030,Collège Saint-François-Régis,Privé,98.4,13.399999999999999,87.5
5,1121,Collège Clémence Royer,Public,92.76,12.899999999999999,91
6,1932,Collège Camille Claudel,Public,94.03999999999999,12.3,89.5
7,2005,Collège Saint-Roch,Privé,97.94,12.649999999999999,86.5
8,2454,Collège Saint-François d'Assise,Privé,94.56,11.850000000000001,89
9,3576,Collège la Providence,Privé,98.05999999999999,11.399999999999999,85.5
10,4213,Collège Joffre,Public,89.58000000000001,10.8,88.5
11,5020,Collège Marcel Pagnol,Public,86.02000000000001,9.7,90
12,5665,Collège François Rabelais,Public,90.02000000000001,9.5,85
13,5719,Collège Fontcarrade,Public,88.42,9.85,84
14,5724,Collège les Garrigues,Public,80.64000000000001,10,86.5
15,5779,Collège Clemenceau,Public,86.8,10.45,82
16,6015,Collège Arthur Rimbaud,Public,85.74000000000001,8.7,86.5
17,6181,Collège Jeu de Mail,Public,83.76,10.55,79
18,6196,Collège Leon Còrdas,Privé,96.375,13.4,64
19,6225,Collège Simone Veil,Public,85.38,9.9,80
20,6429,Collège Croix d'Argent,Public,79.7,8.8,82.5
21,6448,Collège les Aiguerelles,Public,81.16,9.8,78
22,6481,Collège Gérard Philipe,Public,82.52000000000001,8.4,81.5
23,6551,Collège les Escholiers de la Mosson,Public,75.9,7.5,84.5
