,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,20,Collège Saint Joseph du Loquidy-La Salle,Privé,100,15.4,94.25
2,87,Collège La Perverie Sacré-Coeur,Privé,99.47999999999999,14.275,93.5
3,468,Collège Externat des Enfants Nantais,Privé,98.42,14,89
4,482,Collège Blanche de Castille,Privé,98.8,14.225000000000001,88
5,750,Collège Chavagnes,Privé,100,14.724999999999998,84
6,859,Collège Saint Stanislas,Privé,99.17999999999999,13.675,87.25
7,1934,Collège Victor Hugo,Public,93.7,13.275,86.25
8,2046,Collège Gaston Serpette,Public,90.36,12.7,89
9,2288,Collège Notre-Dame de Toutes Aides,Privé,95.5,12.525,87
10,2724,Collège Saint-Donatien,Privé,94.36,12.8,85
11,3506,Collège Chantenay,Public,90.47999999999999,11.775000000000002,87.5
12,3585,Collège Hector Berlioz,Public,91.16,11.925,86.5
13,4032,Collège Sainte Madeleine-La Joliverie,Privé,97,11.6,83.75
14,4812,Collège Aristide Briand,Public,87.58,11.225,85.25
15,5609,Collège Théophane Vénard,Privé,93.1,10.75,80.5
16,5752,Collège Floreska Guépin,Public,85,12,78
17,5855,Collège La Noé Lambert,Public,81,10.549999999999999,83.75
18,5957,Collège Simone Veil,Public,78.34,10.175,85.25
19,6116,Collège de Bretagne,Privé,79.55,9.966666666666667,84
20,6124,Collège Saint-Martin,Privé,93.92,10.55,76.75
21,6220,Collège La Colinière,Public,82.14,10.825000000000001,79.25
22,6411,Collège Libertaire Rutigliano,Public,77,10.575,80
23,6469,Collège Sophie Germain,Public,75.53999999999999,9.8,82.5
24,6588,Collège Saint Jacques de Compostelle,Privé,91.13333333333333,10.65,71.5
25,6736,Collège Stendhal,Public,68.08,9.424999999999999,79
26,6739,Collège Claude Debussy,Public,63.82000000000001,8.075,85
27,6796,Collège La Durantière,Public,76.02000000000001,8.4,75.75
