,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,146,Collège Saint-Barthélémy,Privé,99.85000000000001,14.333333333333334,91.66666666666667
2,261,Collège Blanche de Castille,Privé,99.78333333333335,14.066666666666668,90.66666666666667
3,280,Collège Stanislas,Privé,99.36666666666667,14.799999999999999,88
4,387,Collège Sasserno,Privé,99.83333333333333,12.800000000000002,93.33333333333333
5,437,Collège Sainte-Thérèse,Privé,99.43333333333334,14.166666666666666,88.33333333333333
6,547,Collège Nazareth,Privé,99.5,13.4,90
7,1510,Collège Henri Matisse,Public,95.64999999999999,12.433333333333332,90
8,2327,Collège Saint-Joseph,Privé,98.21666666666665,12.299999999999999,86.66666666666667
9,2683,Collège de l'Archet,Public,95.06666666666666,11.433333333333332,89.66666666666667
10,2919,Collège Don Bosco,Privé,99.56666666666666,12.066666666666668,85
11,3692,Collège Raoul Dufy,Public,92.8,11.200000000000001,88
12,3693,Collège Port Lympia,Public,92.56666666666666,10.833333333333334,89.33333333333333
13,4123,Collège Or Torah,Privé,98.95,12.4,80
14,4890,Collège Parc Impérial,Public,89.03333333333332,10.266666666666666,87.66666666666667
15,5329,Collège Roland Garros,Public,85.28333333333335,10.4,86.33333333333333
16,5520,Collège Valéri,Public,89.06666666666666,10.233333333333333,84.33333333333333
17,5543,Collège Frédéric Mistral,Public,85.05,9.466666666666667,88.33333333333333
18,5763,Collège Ségurane,Public,85.83333333333333,9.833333333333334,85.33333333333333
19,5776,Collège Jean-Henri Fabre,Public,83.56666666666666,9.166666666666666,88.33333333333333
20,6229,Collège Jean Giono,Public,84.61666666666667,9.200000000000001,83.66666666666667
21,6432,Collège Alphonse Daudet,Public,86.38333333333334,8.9,81.66666666666667
22,6602,Collège Simone Veil,Public,76.13333333333334,8.4,83.66666666666667
23,6605,Collège Jean Rostand,Public,89.38333333333333,8.366666666666667,78.66666666666667
24,6616,Collège Jules Romains,Public,73.46666666666665,8.1,85.33333333333333
25,6642,Collège international Joseph Vernier,Public,82.36666666666667,9.633333333333333,76
26,6659,Collège Louis Nucera,Public,78.7,8.200000000000001,81.66666666666667
27,6707,Collège Antoine Risso,Public,85.73333333333333,8.966666666666667,74.66666666666667
28,6769,Collège Maurice Jaubert,Public,69.66666666666667,7,82
