,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,15,Collège Le Gymnase Jean Sturm,Privé,98.72,15.3,95
2,64,Collège Institution La Providence,Privé,100,14.95,92
3,155,Collège Aquiba,Privé,94.55,14.1,94
4,214,Collège Notre Dame,Privé,100,13.899999999999999,91.5
5,215,Collège Saint-Etienne,Privé,100,13.75,92
6,477,Collège Sainte-Anne,Privé,98.82,12.350000000000001,94.5
7,2382,Collège La Doctrine Chrétienne,Privé,97.16,12.95,84.5
8,2578,Collège Foch,Public,94,11.65,89.5
9,3517,Collège Notre Dame de Sion,Privé,97.58,13.100000000000001,80
10,3729,Collège International de l'Esplanade Strasbourg (CIES),Public,89.8,11.600000000000001,87.5
11,5659,Collège Kléber,Public,83.62,9.65,87
12,5781,Collège Louise Weiss,Public,84.58000000000001,9.25,87
13,6020,Collège Jacques Twinger,Public,77.67999999999999,9.600000000000001,86.5
14,6044,Collège Fustel de Coulanges,Public,79.46000000000001,9.899999999999999,84.5
15,6154,Collège Jules Hoffmann,Public,76.9,10.4,82.5
16,6182,Collège Erasme,Public,80.62,8.149999999999999,88.5
17,6236,Collège Louis Pasteur,Public,79.84,9.3,84
18,6372,Collège Lezay Marnésia,Public,76.66,8.55,85.5
19,6386,Collège Hans Arp,Public,75.08000000000001,8.95,84.5
20,6410,Collège Jean Monnet,Public,78.4,8.35,85
21,6437,Collège François Truffaut,Public,83.56,8.75,81
22,6517,Collège international Vauban,Public,86.96000000000001,11.25,68.5
23,6575,Collège Sophie Germain,Public,75.55999999999999,7.35,83.5
24,6627,Collège Solignac,Public,64.86,7.75,82
25,6645,Collège Stockfeld,Public,66.16,7.9,78.5
