,Rang national,Nom de l'établissement,Secteur,Taux de réussite,Note à l'écrit,Taux d'accès 6ème-3ème
1,26,Collège Émilie de Rodat,Privé,99.68333333333334,15.5,93
2,98,Collège Calandreta del País Tolzan,Privé,100,14.8,91
3,106,Collège Saint-Louis,Privé,99.28333333333335,13.533333333333331,95.33333333333333
4,160,Collège Le Caousou,Privé,99.28333333333335,14.6,90.66666666666667
5,162,Collège Saint-Joseph,Privé,99.8,14.333333333333334,91.33333333333333
6,198,Collège Saint-Nicolas,Privé,99.18333333333334,13.433333333333332,94
7,435,Collège Michelet - annexe,Public,94.53333333333332,13.733333333333334,91.66666666666667
8,1220,Collège Saint-Thomas d'Aquin,Privé,99.01666666666667,13,88
9,1376,Collège Ohr Torah,Privé,89.075,13.6,89
10,1759,Collège des Ponts-Jumeaux,Public,87.8,12.566666666666668,91.66666666666667
11,1778,Collège Sainte-Marie de Nevers,Privé,98.71666666666668,13.199999999999998,85.33333333333333
12,3305,Collège Émile Zola,Public,92.46666666666665,12.100000000000001,86.33333333333333
13,3455,Collège Pierre de Fermat,Public,87.5,12.6,86
14,3482,Collège Bellevue,Public,87.68333333333334,12.166666666666666,87.33333333333333
15,4101,Collège Jean-Pierre Vernant,Public,88.2,11.466666666666667,87.33333333333333
16,4156,Collège Marengo,Public,86.5,11.300000000000002,88.33333333333333
17,4480,Collège Les Chalets,Public,87.69999999999999,11.366666666666667,86.33333333333333
18,4624,Collège Sainte-Famille des Minimes,Privé,98.85000000000001,13.200000000000001,75.33333333333333
19,4697,Collège Les Maristes,Privé,97.78333333333335,11.933333333333332,79.66666666666667
20,4965,Collège La Prairie,Privé,90.75,12.333333333333334,79.66666666666667
21,5185,Collège Jean Moulin,Public,86.26666666666667,11.233333333333334,84
22,5336,Collège Sainte-Marie des Ursulines,Privé,97.31666666666666,11.5,78
23,5398,Collège Alphonse de Lamartine,Public,81,10.666666666666666,86.66666666666667
24,5431,Collège Claude Nougaro,Public,85.5,10.799999999999999,84.33333333333333
25,5456,Collège Anatole France,Public,87.23333333333333,10.066666666666668,86
26,5521,Collège Sabine Weiss,Public,85,9.9,87
27,5609,Collège Maurice Becanne,Public,82.8,10.733333333333334,84.33333333333333
28,5783,Collège Jeanne et Jean Philippe,Public,75,10.2,88
29,6059,Collège Hubertine Auclert,Public,79.18333333333332,9.700000000000001,85.66666666666667
30,6115,Collège Clémence Isaure,Public,81.05,10.033333333333333,83.33333333333333
31,6207,Collège Nicolas-Louis Vauquelin,Public,84.31666666666666,9.700000000000001,82.33333333333333
32,6380,Collège Jolimont,Public,81.83333333333333,9.9,80.66666666666667
33,6400,Collège Toulouse Lautrec,Public,75.51666666666667,8.966666666666667,86
34,6409,Collège George Sand,Public,80.91666666666667,8.533333333333333,85.33333333333333
35,6445,Collège Marcelin Berthelot,Public,79.16666666666667,10.133333333333333,80
36,6644,Collège Stendhal,Public,74.86666666666666,9.066666666666666,80.66666666666667
37,6671,Collège Rosa PARKS,Public,74.03333333333335,7.8,84.33333333333333
